title,date,dateRecorded,duration,emoji,episode,episodeOverall,explicit,peopleGuest,peopleThanks,venuesRecordedAt,mp3,noIndex,published,podcastIds,podcastTag,season,seoDescription,seoImage,seoImageDescription,tags,type
I Know What You Did Last Summer (1997),2020-08-05T12:00:00-00:00,2020-07-14T19:21:00-00:00,56:44.995,😵,1,1,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e01--i-know-what-you-did-last-summer.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,"Welcome to Knockoffs! In the premiere episode Alex and Kyle tackle ""I Know What You Did Last Summer"". They chat about physics, athletes, and what matters most: haircuts.",https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
What Lies Beneath (2000),2020-08-12T12:00:00-00:00,2020-07-08T19:50:00-00:00,49:27.008,😵,2,2,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e02--what-lies-beneath.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,"This week Alex and Kyle recap the world's longest movie ""What Lies Beneath"".  Join in as they decide which characters are unneccesary and try to keep up as there is a lot of ground to cover.",https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Disturbing Behavior (1998),2020-08-19T12:00:00-00:00,2020-07-08T19:50:00-00:00,46:05.296,😵,3,3,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e03--disturbing-behavior.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,"Blink and you'll miss this tale of 90's good versus 90's evil.  ""Disturbing Behavior"" reminds Alex & Kyle to always trust a janitor who reads Vonnegut. ",https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Twilight (2008),2020-08-26T12:00:00-00:00,2020-07-21T19:20:00-00:00,45:32.387,😵,4,4,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e04--twilight.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,Alex & Kyle are in a place called “Forks” to discuss “Twilight” - Alex is having a blast and Kyle can't be bothered with it. At least they can agree on who the true villain is.,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
House on Haunted Hill (1999),2020-09-02T12:00:00-00:00,2020-06-23T20:38:00-00:00,49:20.901,😵,5,5,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e05--house-on-haunted-hill.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,“House on Haunted Hill” is a movie in 2 acts: An intro and then the same act over and over. Alex and Kyle are not pleased.,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Buffy the Vampire Slayer (1992),2020-09-09T12:00:00-00:00,2020-08-11T19:35:00-00:00,38:38.413,😵,6,6,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e06--buffy-the-vampire-slayer.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,In every generation there is a chosen one: A perfect Knockoff. “Buffy the Vampire Slayer” is that Knockoff.,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Thir13en Ghosts (2001),2020-09-16T12:00:00-00:00,2020-07-21T20:16:00-00:00,48:03.864,😵,7,7,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e07--thir13en-ghosts.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,Alex & Kyle do their best to explain a movie with little to no plot.  ,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
The Stepfather (2009),2020-09-23T12:00:00-00:00,2020-08-18T19:21:00-00:00,73:38.526,😵,8,8,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e08--the-stepfather.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,This movie has Alex & Kyle on the edge of their seats! “The Stepfather” (2009) got them good. Find out why they think The Stepdaddy is such a bad guy (spoiler: all of the murders.),https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Scream 2 (1997) Part 1 (f. Greg Gillotti),2020-09-30T12:00:00-00:00,2020-08-25T19:21:00-00:00,65:25.001,😵,9,9,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e09--scream-2-part-1-(f.-greg-gillotti).mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,Alex & Kyle welcome guest Greg Gillotti to discuss “Scream 2”!  Kyle and Alex both feel strongly for this movie while Greg... Greg is a wildcard.,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Scream 2 (1997) Part 2 (f. Greg Gillotti),2020-09-30T12:00:00-00:00,2020-08-25T19:21:00-00:00,59:58.001,😵,10,10,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e10--scream-2-part-2-(f.-greg-gillotti).mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,"Alex, Kyle & special guest Greg Gillotti continue to talk out of order about “Scream 2”.  Very passionately.",https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
A Nightmare On Elm Street (2010),2020-10-07T12:00:00-00:00,2020-06-02T19:14:00-00:00,47:29.001,😵,11,11,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e11--a-nightmare-on-elm-street.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,"Welcome to Knocktober, baby! Alex & Kyle look back at their previous episodes - the high highs and the low lows. After that they present their first Knocktober serial killer: Freddy Krueger!! Sit back and enjoy this discussion of “A Nightmare on Elm Street” (2010) -- the pilot episode that until now has never seen the light of day!",https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Jason X (2001),2020-10-14T12:00:00-00:00,2020-09-08T19:25:00-00:00,47:29.001,😵,12,12,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e12--jason-x.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,This is week 2 of Knocktober and it serves as a huge reminder of why Alex & Kyle do what they do! “Jason X” might be one of the worst movies of all time but they watched it for you! ,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
Candyman (1992),2020-10-21T12:00:00-00:00,2020-09-29T19:40:00-00:00,54:48.001,😵,13,13,TRUE,,,1510b732b6b34ee29ddd1bb29080d922,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/knockoffs--s01e13--candyman.mp3,FALSE,TRUE,fff1042d34034210991e678c6820fe68,knockoffs,1,You need to check out the title of this episode because Alex & Kyle can‘t type it more than 5 times. This is the most scared they have ever been. Happy Knocktober... and please be safe with your mirror-games!,https://cdn.jerandky.com/jerandky.com/podcasts/knockoffs/season-01/_original/knockoffs--s01e00--cover-art--final.jpg,"Knockoffs starring Alex O‘Brien & Kyle Longsdorf (Artwork, Anna C. Reilly)",knockoffs,full
